============================================================
wait_then_launch_b0_r0 started at 2026-07-31 00:47:09
monitor_log=logs/ablations/wait_then_launch_b0_r0_20260731_004709.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  B0  -> CUDA_VISIBLE_DEVICES=0,1 (stride32)
  R0  -> CUDA_VISIBLE_DEVICES=2,3 (stride16)
============================================================
2026-07-31 00:47:09 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:48:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:49:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:50:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:51:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:52:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:53:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:54:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:55:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:56:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:57:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:58:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 00:59:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:00:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:01:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:02:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:03:10 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:04:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:05:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:06:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:07:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:08:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:09:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:10:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:11:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:12:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:13:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:14:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:15:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:16:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:17:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:18:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:19:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:20:11 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:21:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:22:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:23:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:24:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:25:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:26:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:27:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:28:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:29:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:30:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:31:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:32:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:33:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:34:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:35:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:36:12 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:37:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:38:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:39:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:40:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:41:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:42:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:43:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:44:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:45:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:46:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:47:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:48:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:49:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:50:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:51:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:52:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:53:13 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:54:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 01:55:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
