============================================================
wait_then_launch_uecoco_r1_c4_rd started at 2026-07-31 20:57:33
monitor_log=logs/ablations_uecoco/wait_then_launch_uecoco_r1_c4_rd_20260731_205733.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  ue_coco R1-C4-RD on all 4 GPUs (CUDA_VISIBLE_DEVICES=0,1,2,3)
============================================================
2026-07-31 20:57:33 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 20:58:33 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 20:59:33 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:00:33 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:01:33 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:02:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:03:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:04:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:05:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:06:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:07:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:08:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:09:33 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:10:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:11:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:12:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:13:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:14:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:15:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:16:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:17:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:18:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:19:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 21:20:34 - 15 train_rsprompter process(es) still running; sleeping 60s.
