image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
3003,3003.TIF,0.836,0.847,0.852,0.821,4,5,0.694,0.837,0.810,0.607,4,11
3004,3004.TIF,0.929,0.889,1.000,0.867,0,2,0.857,0.905,0.923,0.800,1,3
3005,3005.TIF,1.000,0.930,1.000,1.000,0,0,1.000,0.943,1.000,1.000,0,0
3007,3007.TIF,0.857,0.805,1.000,0.750,0,3,0.800,0.785,1.000,0.667,0,4
3008,3008.TIF,0.750,0.860,0.828,0.686,5,11,0.814,0.804,1.000,0.686,0,11
3009,3009.TIF,0.822,0.896,0.938,0.732,2,11,0.754,0.877,0.929,0.634,2,15
3100,3100.TIF,1.000,0.967,1.000,1.000,0,0,1.000,0.919,1.000,1.000,0,0
3101,3101.TIF,1.000,0.920,1.000,1.000,0,0,1.000,0.682,1.000,1.000,0,0
3102,3102.TIF,1.000,0.858,1.000,1.000,0,0,1.000,0.793,1.000,1.000,0,0
3104,3104.TIF,1.000,0.795,1.000,1.000,0,0,1.000,0.855,1.000,1.000,0,0
3107,3107.TIF,1.000,0.807,1.000,1.000,0,0,0.667,0.852,1.000,0.500,0,2
3108,3108.TIF,0.737,0.853,0.875,0.636,1,4,0.700,0.888,0.778,0.636,2,4
3109,3109.TIF,0.588,0.924,0.714,0.500,4,10,0.625,0.930,0.833,0.500,2,10
30010,30010.TIF,0.964,0.918,1.000,0.930,0,4,0.945,0.891,0.981,0.912,1,5
30011,30011.TIF,0.917,0.913,0.968,0.871,2,9,0.926,0.877,0.955,0.900,3,7
30012,30012.TIF,0.943,0.904,0.976,0.911,1,4,0.879,0.880,0.870,0.889,6,5
30013,30013.TIF,0.923,0.891,0.947,0.900,1,2,0.857,0.850,1.000,0.750,0,5
30014,30014.TIF,0.865,0.871,0.842,0.889,3,2,0.889,0.842,0.889,0.889,2,2
30015,30015.TIF,0.943,0.854,0.926,0.962,2,1,0.909,0.838,0.862,0.962,4,1
30016,30016.TIF,0.894,0.843,0.875,0.913,6,4,0.818,0.852,0.857,0.783,6,10
30017,30017.TIF,0.846,0.819,0.957,0.759,1,7,0.824,0.819,0.955,0.724,1,8
30018,30018.TIF,0.750,0.887,0.750,0.750,1,1,0.889,0.826,0.800,1.000,1,0
30020,30020.TIF,0.960,0.885,0.960,0.960,1,1,0.958,0.869,1.000,0.920,0,2
30021,30021.TIF,1.000,0.870,1.000,1.000,0,0,0.977,0.867,0.955,1.000,1,0
30025,30025.TIF,0.893,0.888,1.000,0.806,0,6,0.815,0.890,0.957,0.710,1,9
30026,30026.TIF,0.900,0.885,0.957,0.849,2,8,0.907,0.867,1.000,0.830,0,9
30027,30027.TIF,0.957,0.890,0.917,1.000,2,0,0.909,0.873,0.909,0.909,2,2
30028,30028.TIF,0.667,0.887,1.000,0.500,0,1,0.667,0.695,1.000,0.500,0,1
30029,30029.TIF,0.250,0.975,0.200,0.333,4,2,1.000,0.938,1.000,1.000,0,0
30030,30030.TIF,0.955,0.891,0.955,0.955,1,1,0.905,0.864,0.950,0.864,1,3
30031,30031.TIF,0.952,0.902,0.986,0.921,1,6,0.947,0.880,0.959,0.934,3,5
30032,30032.TIF,0.942,0.907,0.989,0.899,1,10,0.933,0.884,0.957,0.909,4,9
30033,30033.TIF,0.942,0.883,0.985,0.903,1,7,0.859,0.864,0.921,0.806,5,14
30034,30034.TIF,0.895,0.879,0.850,0.944,3,1,0.914,0.906,0.941,0.889,1,2
30035,30035.TIF,0.800,0.730,1.000,0.667,0,1,0.500,0.807,1.000,0.333,0,2
30038,30038.TIF,0.821,0.862,0.800,0.842,4,3,0.688,0.835,0.846,0.579,2,8
30039,30039.TIF,0.846,0.844,0.880,0.815,3,5,0.735,0.851,0.818,0.667,4,9
30040,30040.TIF,1.000,0.790,1.000,1.000,0,0,0.667,0.755,1.000,0.500,0,1
