# rank	advantage	ours_f1	ours_mIoU	rival_f1	rival_mIoU	file
1	0.918	1.000	0.837	0.000	0.000	300692.TIF
2	0.546	1.000	0.868	0.400	0.941	310258.TIF
3	0.449	1.000	0.907	0.545	0.849	310107.TIF
4	0.426	0.909	0.868	0.444	0.903	300693.TIF
5	0.396	1.000	0.858	0.600	0.777	300579.TIF
6	0.394	1.000	0.877	0.571	0.906	3001055.TIF
7	0.377	0.750	0.798	0.333	0.785	300104.TIF
8	0.348	0.889	0.821	0.500	0.844	310490.TIF
9	0.347	0.839	0.883	0.462	0.918	300715.TIF
10	0.321	0.857	0.814	0.500	0.825	31060.TIF
11	0.316	1.000	0.863	0.667	0.846	310561.TIF
12	0.315	1.000	0.910	0.667	0.919	300521.TIF
13	0.315	1.000	0.868	0.667	0.858	310502.TIF
14	0.305	1.000	0.928	0.750	0.756	3001028.TIF
15	0.301	0.714	0.841	0.400	0.783	300581.TIF
