# rank	composite	f1	meanIoU	P	R	file
1	0.972	1.000	0.944	1.000	1.000	310110.TIF
2	0.969	1.000	0.938	1.000	1.000	3001029.TIF
3	0.967	1.000	0.935	1.000	1.000	310501.TIF
4	0.966	1.000	0.932	1.000	1.000	3001371.TIF
5	0.965	1.000	0.930	1.000	1.000	3005.TIF
6	0.965	1.000	0.929	1.000	1.000	310406.TIF
7	0.964	1.000	0.929	1.000	1.000	310542.TIF
8	0.964	1.000	0.928	1.000	1.000	3001028.TIF
9	0.964	1.000	0.928	1.000	1.000	310201.TIF
10	0.962	1.000	0.925	1.000	1.000	310202.TIF
11	0.962	1.000	0.924	1.000	1.000	310562.TIF
12	0.962	1.000	0.924	1.000	1.000	3001198.TIF
13	0.962	1.000	0.923	1.000	1.000	310271.TIF
14	0.960	1.000	0.920	1.000	1.000	310405.TIF
15	0.958	1.000	0.917	1.000	1.000	3001176.TIF
